port,tcp,udp
468,filtrado,abierto|filtrado
469,filtrado,abierto|filtrado
470,filtrado,abierto|filtrado
471,filtrado,abierto|filtrado
472,filtrado,abierto|filtrado
473,filtrado,abierto|filtrado
474,filtrado,filtrado
475,filtrado,abierto|filtrado
476,filtrado,abierto|filtrado
477,filtrado,abierto|filtrado
478,filtrado,abierto|filtrado
479,filtrado,abierto|filtrado
480,filtrado,abierto|filtrado
481,filtrado,abierto|filtrado
482,filtrado,abierto|filtrado
483,filtrado,abierto|filtrado
484,filtrado,abierto|filtrado
485,filtrado,abierto|filtrado
486,filtrado,abierto|filtrado
487,filtrado,abierto|filtrado
488,filtrado,abierto|filtrado
489,filtrado,abierto|filtrado
490,filtrado,abierto|filtrado
491,filtrado,abierto|filtrado
492,filtrado,abierto|filtrado
493,filtrado,abierto|filtrado
494,filtrado,abierto|filtrado
495,filtrado,abierto|filtrado
496,filtrado,abierto|filtrado
497,filtrado,abierto|filtrado
498,None,abierto|filtrado
499,filtrado,abierto|filtrado
500,None,abierto|filtrado
501,filtrado,abierto|filtrado
502,filtrado,abierto|filtrado
503,filtrado,abierto|filtrado
504,filtrado,filtrado
505,filtrado,abierto|filtrado
506,filtrado,abierto|filtrado
507,filtrado,abierto|filtrado
508,filtrado,abierto|filtrado
509,filtrado,filtrado
510,filtrado,abierto|filtrado
511,filtrado,abierto|filtrado
512,filtrado,abierto|filtrado
513,filtrado,abierto|filtrado
514,filtrado,abierto|filtrado
515,filtrado,abierto|filtrado
516,None,abierto|filtrado
517,filtrado,abierto|filtrado
518,filtrado,abierto|filtrado
519,filtrado,abierto|filtrado
520,filtrado,abierto|filtrado
521,filtrado,abierto|filtrado
522,filtrado,abierto|filtrado
523,filtrado,abierto|filtrado
524,filtrado,abierto|filtrado
525,filtrado,abierto|filtrado
526,filtrado,abierto|filtrado
527,filtrado,abierto|filtrado
528,filtrado,abierto|filtrado
529,filtrado,abierto|filtrado
530,filtrado,abierto|filtrado
531,filtrado,abierto|filtrado
532,None,abierto|filtrado
533,filtrado,abierto|filtrado
534,None,abierto|filtrado
535,filtrado,abierto|filtrado
536,filtrado,abierto|filtrado
537,filtrado,abierto|filtrado
538,filtrado,abierto|filtrado
539,filtrado,abierto|filtrado
540,filtrado,abierto|filtrado
541,filtrado,abierto|filtrado
542,filtrado,abierto|filtrado
543,filtrado,abierto|filtrado
544,filtrado,abierto|filtrado
545,filtrado,abierto|filtrado
546,None,abierto|filtrado
547,filtrado,abierto|filtrado
548,filtrado,abierto|filtrado
549,filtrado,abierto|filtrado
550,filtrado,abierto|filtrado
551,filtrado,abierto|filtrado
552,filtrado,abierto|filtrado
553,filtrado,abierto|filtrado
554,filtrado,abierto|filtrado
555,filtrado,abierto|filtrado
556,filtrado,abierto|filtrado
557,filtrado,abierto|filtrado
558,filtrado,abierto|filtrado
559,filtrado,abierto|filtrado
560,filtrado,abierto|filtrado
561,filtrado,abierto|filtrado
562,filtrado,abierto|filtrado
563,filtrado,abierto|filtrado
564,filtrado,abierto|filtrado
565,filtrado,abierto|filtrado
566,filtrado,abierto|filtrado
567,filtrado,abierto|filtrado
568,filtrado,abierto|filtrado
569,filtrado,abierto|filtrado
570,filtrado,abierto|filtrado
571,None,abierto|filtrado
572,filtrado,abierto|filtrado
573,filtrado,abierto|filtrado
574,filtrado,abierto|filtrado
575,filtrado,abierto|filtrado
576,filtrado,abierto|filtrado
577,filtrado,abierto|filtrado
578,filtrado,abierto|filtrado
579,filtrado,filtrado
580,filtrado,abierto|filtrado
581,filtrado,abierto|filtrado
582,filtrado,abierto|filtrado
583,filtrado,abierto|filtrado
584,filtrado,abierto|filtrado
585,filtrado,abierto|filtrado
586,filtrado,abierto|filtrado
587,filtrado,abierto|filtrado
588,filtrado,abierto|filtrado
589,filtrado,abierto|filtrado
590,filtrado,abierto|filtrado
591,filtrado,abierto|filtrado
592,filtrado,abierto|filtrado
593,filtrado,abierto|filtrado
594,filtrado,abierto|filtrado
595,filtrado,abierto|filtrado
596,filtrado,abierto|filtrado
597,filtrado,abierto|filtrado
598,filtrado,abierto|filtrado
599,filtrado,abierto|filtrado
600,None,abierto|filtrado
601,filtrado,abierto|filtrado
602,None,abierto|filtrado
603,filtrado,abierto|filtrado
604,filtrado,abierto|filtrado
605,filtrado,abierto|filtrado
606,filtrado,abierto|filtrado
607,filtrado,abierto|filtrado
608,filtrado,abierto|filtrado
609,filtrado,abierto|filtrado
610,filtrado,abierto|filtrado
611,filtrado,abierto|filtrado
612,filtrado,abierto|filtrado
613,filtrado,abierto|filtrado
614,filtrado,abierto|filtrado
615,filtrado,abierto|filtrado
616,filtrado,abierto|filtrado
617,filtrado,abierto|filtrado
618,filtrado,abierto|filtrado
619,filtrado,abierto|filtrado
620,filtrado,abierto|filtrado
621,filtrado,abierto|filtrado
622,filtrado,abierto|filtrado
623,filtrado,abierto|filtrado
624,filtrado,abierto|filtrado
625,filtrado,abierto|filtrado
626,filtrado,abierto|filtrado
627,filtrado,abierto|filtrado
628,filtrado,abierto|filtrado
629,filtrado,abierto|filtrado
630,filtrado,abierto|filtrado
631,filtrado,abierto|filtrado
632,filtrado,abierto|filtrado
633,filtrado,abierto|filtrado
